title,release_date,review_score,old_price,new_price,link
ARK: Survival Evolved,"29 Aug, 2017",postive,54.99,10.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/346110/ARK_Survival_Evolved/?snr=1_7_7_2300_150_1
Tom Clancy's Rainbow Six® Siege,"1 Dec, 2015",postive,29.99,9.89,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/?snr=1_7_7_2300_150_1
Deep Rock Galactic,"28 Feb, 2018",postive,27.99,13.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_2300_150_1
ARK: Survival Evolved Explorer's Edition,0,postive,94.98,29.44,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/4462/ARK_Survival_Evolved_Explorers_Edition/?snr=1_7_7_2300_150_1
Transport Fever 2,"11 Dec, 2019",postive,39.99,31.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/1066780/Transport_Fever_2/?snr=1_7_7_2300_150_1
Half-Life: Alyx,"23 Mar, 2020",postive,49.99,44.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/546560/HalfLife_Alyx/?snr=1_7_7_2300_150_1
PAYDAY 2,"13 Aug, 2013",postive,9.99,4.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/218620/PAYDAY_2/?snr=1_7_7_2300_150_1
Celeste,"25 Jan, 2018",postive,19.99,6.79,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/504230/Celeste/?snr=1_7_7_2300_150_1
AppGameKit Studio - Premium Pack,0,postive,143.97,70.54,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/12629/AppGameKit_Studio__Premium_Pack/?snr=1_7_7_2300_150_1
Dying Light,"26 Jan, 2015",postive,0,0.00,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/239140/Dying_Light/?snr=1_7_7_2300_150_1
Fell Seal: Arbiter's Mark,"30 Apr, 2019",postive,24.99,8.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/699170/Fell_Seal_Arbiters_Mark/?snr=1_7_7_2300_150_1
The Witness,"26 Jan, 2016",postive,36.99,9.24,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/210970/The_Witness/?snr=1_7_7_2300_150_1
PAYDAY 2: Legacy Collection,0,postive,80.33,19.27,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/3756/PAYDAY_2_Legacy_Collection/?snr=1_7_7_2300_150_1
Deep Rock Galactic: Motherlode Edition,0,postive,50.97,22.93,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/6306/Deep_Rock_Galactic_Motherlode_Edition/?snr=1_7_7_2300_150_1
Workers & Resources: Soviet Republic,"15 Mar, 2019",postive,21.99,17.59,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/784150/Workers__Resources_Soviet_Republic/?snr=1_7_7_2300_150_1
Wuppo: Definitive Edition,"29 Sep, 2016",postive,14.99,1.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/400630/Wuppo_Definitive_Edition/?snr=1_7_7_2300_150_1
Deep Rock Galactic - Supporter Upgrade,"28 Feb, 2018",postive,14.99,7.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/801860/Deep_Rock_Galactic__Supporter_Upgrade/?snr=1_7_7_2300_150_1
Remnant: From the Ashes,"19 Aug, 2019",postive,39.99,27.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/617290/Remnant_From_the_Ashes/?snr=1_7_7_2300_150_1
BioShock Infinite,"26 Mar, 2013",postive,29.99,7.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/8870/BioShock_Infinite/?snr=1_7_7_2300_150_1
AppGameKit Studio,"24 Jul, 2019",postive,84.99,59.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/1024640/AppGameKit_Studio/?snr=1_7_7_2300_150_1
Borderlands 2,"20 Sep, 2012",postive,29.99,7.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/49520/Borderlands_2/?snr=1_7_7_2300_150_1
Dead Island Definitive Edition,"31 May, 2016",postive,19.99,4.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/383150/Dead_Island_Definitive_Edition/?snr=1_7_7_2300_150_1
Borderlands: The Handsome Collection,0,postive,235.48,14.12,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/8133/Borderlands_The_Handsome_Collection/?snr=1_7_7_2300_150_1
BEAUTIFUL DESOLATION,"26 Feb, 2020",postive,16.79,15.11,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/912570/BEAUTIFUL_DESOLATION/?snr=1_7_7_2300_150_1
Kenshi,"6 Dec, 2018",postive,26.99,20.24,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/233860/Kenshi/?snr=1_7_7_2300_150_1
Dead Island: Riptide Definitive Edition,"31 May, 2016",postive,19.99,4.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/383180/Dead_Island_Riptide_Definitive_Edition/?snr=1_7_7_2300_150_1
Unity of Command II,"12 Nov, 2019",postive,24.99,19.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/809230/Unity_of_Command_II/?snr=1_7_7_2300_150_1
Cooking Simulator,"6 Jun, 2019",postive,16.79,11.75,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/641320/Cooking_Simulator/?snr=1_7_7_2300_150_1
Grand Theft Auto: San Andreas,"4 Jan, 2008",postive,9.99,3.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/12120/Grand_Theft_Auto_San_Andreas/?snr=1_7_7_2300_150_1
Genesis Alpha One Deluxe Edition,"25 Feb, 2020",mixed,27.99,20.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/712190/Genesis_Alpha_One_Deluxe_Edition/?snr=1_7_7_2300_150_1
The Witness + Braid,0,postive,51.98,11.43,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/2501/The_Witness__Braid/?snr=1_7_7_2300_150_1
Dying Light Enhanced Edition 5th Anniversary,0,postive,49.99,16.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/13415/Dying_Light_Enhanced_Edition_5th_Anniversary/?snr=1_7_7_2300_150_1
Dying Light 5th Anniversary,0,postive,29.99,11.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/13414/Dying_Light_5th_Anniversary/?snr=1_7_7_2300_150_1
Trine 4: The Nightmare Prince,"8 Oct, 2019",postive,29.99,14.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/690640/Trine_4_The_Nightmare_Prince/?snr=1_7_7_2300_150_1
Borderlands: The Pre-Sequel,"16 Oct, 2014",postive,39.99,11.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/261640/Borderlands_The_PreSequel/?snr=1_7_7_2300_150_1
TrackMania² Stadium,"20 Jun, 2013",postive,9.99,4.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/232910/TrackMania_Stadium/?snr=1_7_7_2300_150_1
Panzer Corps 2,"19 Mar, 2020",postive,58.99,50.14,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/1072040/Panzer_Corps_2/?snr=1_7_7_2300_150_1
Skul: The Hero Slayer,"18 Feb, 2020",postive,14.99,11.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/1147560/Skul_The_Hero_Slayer/?snr=1_7_7_2300_150_1
Cooking with Food Network Bundle,0,postive,22.48,15.73,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/12478/Cooking_with_Food_Network_Bundle/?snr=1_7_7_2300_150_1
Dead Island Definitive Collection,0,postive,44.97,11.24,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/320/Dead_Island_Definitive_Collection/?snr=1_7_7_2300_150_1
Talisman: Digital Edition,"25 Feb, 2014",postive,5.69,1.42,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/247000/Talisman_Digital_Edition/?snr=1_7_7_2300_150_1
NITE Team 4 - Military Hacking Division,"26 Feb, 2019",postive,29.99,7.49,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/544390/NITE_Team_4__Military_Hacking_Division/?snr=1_7_7_2300_150_1
Borderlands Game of the Year,"26 Oct, 2009",postive,29.99,20.09,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/8980/Borderlands_Game_of_the_Year/?snr=1_7_7_2300_150_1
ADROVGAMES BUNDLE,0,postive,15.55,3.11,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/10858/ADROVGAMES_BUNDLE/?snr=1_7_7_2300_150_1
Dying Light Ultimate Collection,0,postive,94.86,45.53,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/10207/Dying_Light_Ultimate_Collection/?snr=1_7_7_2300_150_1
Garfield Kart - Lasagna Bundle !,0,postive,19.98,11.98,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/bundle/11631/Garfield_Kart__Lasagna_Bundle/?snr=1_7_7_2300_150_1
TowerFall Ascension,"11 Mar, 2014",postive,14.99,2.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/251470/TowerFall_Ascension/?snr=1_7_7_2300_150_1
Max Gentlemen Sexy Business!,"25 Feb, 2020",postive,16.79,15.11,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/817840/Max_Gentlemen_Sexy_Business/?snr=1_7_7_2300_150_1
Deep Rock Galactic - Original Soundtrack,"28 Feb, 2018",postive,7.99,3.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/802640/Deep_Rock_Galactic__Original_Soundtrack/?snr=1_7_7_2300_150_1
Gibbous -  A Cthulhu Adventure,"7 Aug, 2019",postive,19.99,14.99,https://store.steampowered.com/search/?specials=1https://store.steampowered.com/app/914020/Gibbous___A_Cthulhu_Adventure/?snr=1_7_7_2300_150_1
